name,type,mana_cost,colors,produced_mana,power,tough,keywords,text,legal,rank,png,art,url,usd,usd_foil,eur,avg_synergy
"Vaevictis Asmadi, the Dire",Legendary Creature — Elder Dragon,6.0,"['B', 'G', 'R']",[],6,6,['Flying'],"Flying
Whenever Vaevictis Asmadi attacks, for each player, choose target permanent that player controls. Those players sacrifice those permanents. Each player who sacrificed a permanent this way reveals the top card of their library, then puts it onto the battlefield if it's a permanent card.",1,7299,https://cards.scryfall.io/png/front/d/1/d19fdc00-21eb-48dc-966a-6b634dc5a2c4.png?1562304374,https://cards.scryfall.io/art_crop/front/d/1/d19fdc00-21eb-48dc-966a-6b634dc5a2c4.jpg?1562304374,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F168745%3Fpage%3D1,1.63,10.22,1.27,82.0
"Obeka, Splitter of Seconds",Legendary Creature — Ogre Warlock,4.0,"['B', 'R', 'U']",[],2,5,['Menace'],"Menace
Whenever Obeka deals combat damage to a player, you get that many additional upkeep steps after this phase.",1,5228,https://cards.scryfall.io/png/front/0/3/03415c42-086e-4a2e-9be8-5cdcde83f134.png?1712356168,https://cards.scryfall.io/art_crop/front/0/3/03415c42-086e-4a2e-9be8-5cdcde83f134.jpg?1712356168,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F544706%3Fpage%3D1,0.25,0.29,0.27,82.0
"Atarka, World Render",Legendary Creature — Dragon,7.0,"['G', 'R']",[],6,4,"['Flying', 'Trample']","Flying, trample
Whenever a Dragon you control attacks, it gains double strike until end of turn.",1,1224,https://cards.scryfall.io/png/front/c/5/c569fab1-6901-40ab-b958-001698819585.png?1743207078,https://cards.scryfall.io/art_crop/front/c/5/c569fab1-6901-40ab-b958-001698819585.jpg?1743207078,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624961%3Fpage%3D1,0.28,,0.23,81.0
"Jodah, the Unifier",Legendary Creature — Human Wizard,5.0,"['B', 'G', 'R', 'U', 'W']",[],5,5,[],"Legendary creatures you control get +X/+X, where X is the number of legendary creatures you control.
Whenever you cast a legendary spell from your hand, exile cards from the top of your library until you exile a legendary nonland card with lesser mana value. You may cast that card without paying its mana cost. Put the rest on the bottom of your library in a random order.",1,2700,https://cards.scryfall.io/png/front/e/4/e4b1aa1e-b4e3-4346-8937-76b312501c70.png?1673307974,https://cards.scryfall.io/art_crop/front/e/4/e4b1aa1e-b4e3-4346-8937-76b312501c70.jpg?1673307974,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F283614%3Fpage%3D1,3.83,4.51,2.27,81.0
"Karrthus, Tyrant of Jund",Legendary Creature — Dragon,7.0,"['B', 'G', 'R']",[],7,7,"['Flying', 'Haste']","Flying, haste
When Karrthus enters, gain control of all Dragons, then untap all Dragons.
Other Dragon creatures you control have haste.",1,6842,https://cards.scryfall.io/png/front/2/b/2bfb85e8-278b-48a4-970e-e65bad1c4c47.png?1599708104,https://cards.scryfall.io/art_crop/front/2/b/2bfb85e8-278b-48a4-970e-e65bad1c4c47.jpg?1599708104,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F218999%3Fpage%3D1,8.46,5.16,2.87,81.0
"Xyris, the Writhing Storm",Legendary Creature — Snake Leviathan,5.0,"['G', 'R', 'U']",[],3,5,['Flying'],"Flying
Whenever an opponent draws a card except the first one they draw in each of their draw steps, create a 1/1 green Snake creature token.
Whenever Xyris deals combat damage to a player, you and that player each draw that many cards.",1,4082,https://cards.scryfall.io/png/front/a/f/af0db1d6-5cb1-4917-8e8f-69d5dc184404.png?1673305716,https://cards.scryfall.io/art_crop/front/a/f/af0db1d6-5cb1-4917-8e8f-69d5dc184404.jpg?1673305716,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F282973%3Fpage%3D1,1.20,,0.61,81.0
Colossal Grave-Reaver,Creature — Dragon,8.0,"['B', 'G']",[],7,6,"['Flying', 'Mill']","Flying
Whenever this creature enters or attacks, mill three cards.
Whenever one or more creature cards are put into your graveyard from your library, put one of them onto the battlefield.",1,8603,https://cards.scryfall.io/png/front/7/c/7c3f7d76-528a-490a-852a-071adcd7bd55.png?1743205875,https://cards.scryfall.io/art_crop/front/7/c/7c3f7d76-528a-490a-852a-071adcd7bd55.jpg?1743205875,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624504%3Fpage%3D1,8.58,,10.45,81.0
"Jon Irenicus, Shattered One",Legendary Creature — Elf Wizard,4.0,"['B', 'U']",[],3,3,['Goad'],"At the beginning of your end step, target opponent gains control of up to one target creature you control. Put two +1/+1 counters on it and tap it. It's goaded for the rest of the game and it gains ""This creature can't be sacrificed."" (It attacks each combat if able and attacks a player other than you if able.)
Whenever a creature you own but don't control attacks, you draw a card.",1,7087,https://cards.scryfall.io/png/front/b/f/bfddb61e-986f-4557-819d-d6c0ca85c74a.png?1674137538,https://cards.scryfall.io/art_crop/front/b/f/bfddb61e-986f-4557-819d-d6c0ca85c74a.jpg?1674137538,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272528%3Fpage%3D1,0.12,0.20,0.22,81.0
Farseek,Sorcery,2.0,['G'],[],0,0,[],"Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.",1,26,https://cards.scryfall.io/png/front/9/c/9cc7c928-2e45-4653-883d-d13166ccb0df.png?1743206922,https://cards.scryfall.io/art_crop/front/9/c/9cc7c928-2e45-4653-883d-d13166ccb0df.jpg?1743206922,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624453%3Fpage%3D1,0.51,,1.09,80.0
"Havi, the All-Father",Legendary Creature — God Warrior,6.0,"['G', 'R', 'W']",[],6,6,['Sage Project'],"Havi has indestructible as long as there are four or more historic cards in your graveyard. (Artifacts, legendaries, and Sagas are historic.)
Sage Project — Whenever Havi or another legendary creature you control dies, return target legendary creature card with lesser mana value from your graveyard to the battlefield tapped.",1,8337,https://cards.scryfall.io/png/front/7/c/7c44cc99-eb71-4be3-89f2-74473f2717d3.png?1721424007,https://cards.scryfall.io/art_crop/front/7/c/7c44cc99-eb71-4be3-89f2-74473f2717d3.jpg?1721424007,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F555982%3Fpage%3D1,0.38,0.39,0.39,80.0
"Sisay, Weatherlight Captain",Legendary Creature — Human Soldier,3.0,['W'],[],2,2,[],"Sisay gets +1/+1 for each color among other legendary permanents you control.
{W}{U}{B}{R}{G}: Search your library for a legendary permanent card with mana value less than Sisay's power, put that card onto the battlefield, then shuffle.",1,2675,https://cards.scryfall.io/png/front/5/a/5a293c45-1e73-4527-be2f-2dcd5c47b610.png?1650730165,https://cards.scryfall.io/art_crop/front/5/a/5a293c45-1e73-4527-be2f-2dcd5c47b610.jpg?1650730165,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F190933%3Fpage%3D1,1.88,7.10,0.89,80.0
Soul of Windgrace,Legendary Creature — Cat Avatar,4.0,"['B', 'G', 'R']",[],5,4,[],"Whenever Soul of Windgrace enters or attacks, you may put a land card from a graveyard onto the battlefield tapped under your control.
{G}, Discard a land card: You gain 3 life.
{1}{R}, Discard a land card: Draw a card.
{2}{B}, Discard a land card: Soul of Windgrace gains indestructible until end of turn. Tap it.",1,7625,https://cards.scryfall.io/png/front/e/7/e775a2e6-e701-4cb8-8c0b-718d3508f6b6.png?1673308096,https://cards.scryfall.io/art_crop/front/e/7/e775a2e6-e701-4cb8-8c0b-718d3508f6b6.jpg?1673308096,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F282777%3Fpage%3D1,0.47,0.69,0.82,80.0
"Mimeoplasm, Revered One",Legendary Creature — Ooze,3.0,"['B', 'G', 'U']",[],0,0,[],"As Mimeoplasm enters, exile up to X creature cards from your graveyard. It enters with three +1/+1 counters on it for each creature card exiled this way.
{2}: Mimeoplasm becomes a copy of target creature card exiled with it, except it's 0/0 and has this ability.",1,16172,https://cards.scryfall.io/png/front/3/4/34e4c342-dc22-4e9c-81fc-a691ae9e21c1.png?1738356702,https://cards.scryfall.io/art_crop/front/3/4/34e4c342-dc22-4e9c-81fc-a691ae9e21c1.jpg?1738356702,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F615664%3Fpage%3D1,0.37,0.52,0.44,80.0
"Yuma, Proud Protector",Legendary Creature — Human Ranger,8.0,"['G', 'R', 'W']",[],6,6,[],"This spell costs {1} less to cast for each land card in your graveyard.
Whenever Yuma enters or attacks, you may sacrifice a land. If you do, draw a card.
Whenever a Desert card is put into your graveyard from anywhere, create a 4/2 green Plant Warrior creature token with reach.",1,7878,https://cards.scryfall.io/png/front/1/8/18df72be-07d2-4412-b36d-a45119763db3.png?1714110413,https://cards.scryfall.io/art_crop/front/1/8/18df72be-07d2-4412-b36d-a45119763db3.jpg?1714110413,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F544316%3Fpage%3D1,0.30,0.19,,80.0
Sefris of the Hidden Ways,Legendary Creature — Human Wizard,3.0,"['B', 'U', 'W']",[],2,3,['Venture into the dungeon'],"Whenever one or more creature cards are put into your graveyard from anywhere, venture into the dungeon. This ability triggers only once each turn. (To venture into the dungeon, enter the first room or advance to the next room.)
Create Undead — Whenever you complete a dungeon, return target creature card from your graveyard to the battlefield.",1,7226,https://cards.scryfall.io/png/front/d/3/d30255f6-e058-476a-b377-2ee4c9178ed1.png?1632335385,https://cards.scryfall.io/art_crop/front/d/3/d30255f6-e058-476a-b377-2ee4c9178ed1.jpg?1632335385,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F243359%3Fpage%3D1,,0.43,,79.0
Haven of the Spirit Dragon,Land,0.0,[],"['B', 'C', 'G', 'R', 'U', 'W']",0,0,[],"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a Dragon creature spell.
{2}, {T}, Sacrifice this land: Return target Dragon creature card or Ugin planeswalker card from your graveyard to your hand.",1,1115,https://cards.scryfall.io/png/front/d/0/d0c552da-874e-49eb-b221-47220b8b7786.png?1743207602,https://cards.scryfall.io/art_crop/front/d/0/d0c552da-874e-49eb-b221-47220b8b7786.jpg?1743207602,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624974%3Fpage%3D1,0.37,,1.46,79.0
Dragonspeaker Shaman,Creature — Human Barbarian Shaman,3.0,['R'],[],2,2,[],Dragon spells you cast cost {2} less to cast.,1,1135,https://cards.scryfall.io/png/front/7/b/7b0a2799-197e-4d61-ab23-67d974458a05.png?1631590611,https://cards.scryfall.io/art_crop/front/7/b/7b0a2799-197e-4d61-ab23-67d974458a05.jpg?1631590611,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F243849%3Fpage%3D1,12.10,,2.01,79.0
"Ojutai, Soul of Winter",Legendary Creature — Dragon,7.0,"['U', 'W']",[],5,6,"['Flying', 'Vigilance']","Flying, vigilance
Whenever a Dragon you control attacks, tap target nonland permanent an opponent controls. That permanent doesn't untap during its controller's next untap step.",1,6851,https://cards.scryfall.io/png/front/7/e/7eb90a6b-da46-44ab-88b8-31aaffdee75b.png?1562614387,https://cards.scryfall.io/art_crop/front/7/e/7eb90a6b-da46-44ab-88b8-31aaffdee75b.jpg?1562614387,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F140001%3Fpage%3D1,0.59,,0.52,79.0
"Hinata, Dawn-Crowned",Legendary Creature — Kirin Spirit,4.0,"['R', 'U', 'W']",[],4,4,"['Flying', 'Trample']","Flying, trample
Spells you cast cost {1} less to cast for each target.
Spells your opponents cast cost {1} more to cast for each target.",1,8281,https://cards.scryfall.io/png/front/f/2/f25aff90-56fd-4f70-bb3b-cabf2900c391.png?1654568472,https://cards.scryfall.io/art_crop/front/f/2/f25aff90-56fd-4f70-bb3b-cabf2900c391.jpg?1654568472,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F262612%3Fpage%3D1,0.21,0.50,0.24,79.0
Ezio Auditore da Firenze,Legendary Creature — Human Assassin,2.0,['B'],[],3,2,['Menace'],"Menace
Assassin spells you cast have freerunning {B}{B}. (You may cast a spell for its freerunning cost if you dealt combat damage to a player this turn with an Assassin or commander.)
Whenever Ezio deals combat damage to a player, you may pay {W}{U}{B}{R}{G} if that player has 10 or less life. When you do, that player loses the game.",1,6987,https://cards.scryfall.io/png/front/d/a/dae9ee75-30b8-4e24-af8b-031c816d3221.png?1737999942,https://cards.scryfall.io/art_crop/front/d/a/dae9ee75-30b8-4e24-af8b-031c816d3221.jpg?1737999942,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F541329%3Fpage%3D1,5.27,6.11,9.27,78.0
"Alela, Cunning Conqueror",Legendary Creature — Faerie Warlock,4.0,"['B', 'U']",[],2,4,"['Flying', 'Goad']","Flying
Whenever you cast your first spell during each opponent's turn, create a 1/1 black Faerie Rogue creature token with flying.
Whenever one or more Faeries you control deal combat damage to a player, goad target creature that player controls.",1,3753,https://cards.scryfall.io/png/front/7/9/79ba5c35-6e5c-406a-b95f-844d5ec296ab.png?1692933638,https://cards.scryfall.io/art_crop/front/7/9/79ba5c35-6e5c-406a-b95f-844d5ec296ab.jpg?1692933638,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F512238%3Fpage%3D1,1.06,3.20,0.82,78.0
"Varina, Lich Queen",Legendary Creature — Zombie Wizard,4.0,"['B', 'U', 'W']",[],4,4,[],"Whenever you attack with one or more Zombies, draw that many cards, then discard that many cards. You gain that much life.
{2}, Exile two cards from your graveyard: Create a tapped 2/2 black Zombie creature token.",1,5803,https://cards.scryfall.io/png/front/f/1/f1caccc8-4f33-4ae3-a09a-b41b9c4663a1.png?1673149250,https://cards.scryfall.io/art_crop/front/f/1/f1caccc8-4f33-4ae3-a09a-b41b9c4663a1.jpg?1673149250,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F276863%3Fpage%3D1,9.46,16.48,5.40,78.0
Indatha Triome,Land — Plains Swamp Forest,0.0,[],"['B', 'G', 'W']",0,0,['Cycling'],"({T}: Add {W}, {B}, or {G}.)
This land enters tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",1,390,https://cards.scryfall.io/png/front/2/b/2b74bb81-fb9a-40e5-a941-e517430b52f5.png?1636491374,https://cards.scryfall.io/art_crop/front/2/b/2b74bb81-fb9a-40e5-a941-e517430b52f5.jpg?1636491374,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F212689%3Fpage%3D1,18.03,16.30,16.95,77.0
Zagoth Triome,Land — Swamp Forest Island,0.0,[],"['B', 'G', 'U']",0,0,['Cycling'],"({T}: Add {B}, {G}, or {U}.)
This land enters tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",1,359,https://cards.scryfall.io/png/front/c/c/cc520518-2063-4b57-a0d4-10cf62a7175e.png?1591228738,https://cards.scryfall.io/art_crop/front/c/c/cc520518-2063-4b57-a0d4-10cf62a7175e.jpg?1591228738,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F212691%3Fpage%3D1,21.98,17.23,18.65,77.0
Life from the Loam,Sorcery,2.0,['G'],[],0,0,"['Dredge', 'Mill']","Return up to three target land cards from your graveyard to your hand.
Dredge 3 (If you would draw a card, you may mill three cards instead. If you do, return this card from your graveyard to your hand.)",1,748,https://cards.scryfall.io/png/front/c/d/cdb6432f-3f56-4c92-b09a-2a5b64620c04.png?1743206055,https://cards.scryfall.io/art_crop/front/c/d/cdb6432f-3f56-4c92-b09a-2a5b64620c04.jpg?1743206055,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624487%3Fpage%3D1,2.69,,4.63,77.0
"Tatyova, Benthic Druid",Legendary Creature — Merfolk Druid,5.0,"['G', 'U']",[],3,3,['Landfall'],"Landfall — Whenever a land you control enters, you gain 1 life and draw a card.",1,443,https://cards.scryfall.io/png/front/e/a/eabc978a-0666-472d-bdc6-d4b29d29eca4.png?1730489527,https://cards.scryfall.io/art_crop/front/e/a/eabc978a-0666-472d-bdc6-d4b29d29eca4.jpg?1730489527,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F591196%3Fpage%3D1,0.10,0.20,0.11,77.0
Sulfur Falls,Land,0.0,[],"['R', 'U']",0,0,[],"This land enters tapped unless you control an Island or a Mountain.
{T}: Add {U} or {R}.",1,106,https://cards.scryfall.io/png/front/3/3/33399b6b-67ae-499c-81aa-35132509d2d8.png?1743207753,https://cards.scryfall.io/art_crop/front/3/3/33399b6b-67ae-499c-81aa-35132509d2d8.jpg?1743207753,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624218%3Fpage%3D1,0.64,,0.55,76.0
Reaper King,Legendary Artifact Creature — Scarecrow,10.0,"['B', 'G', 'R', 'U', 'W']",[],6,6,[],"({2/W} can be paid with any two mana or with {W}. This card's mana value is 10.)
Other Scarecrow creatures you control get +1/+1.
Whenever another Scarecrow you control enters, destroy target permanent.",1,8266,https://cards.scryfall.io/png/front/5/0/502740bf-0bff-4358-8996-1a27e5f0343f.png?1562830062,https://cards.scryfall.io/art_crop/front/5/0/502740bf-0bff-4358-8996-1a27e5f0343f.jpg?1562830062,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F18858%3Fpage%3D1,5.21,30.33,1.87,76.0
Dragon's Hoard,Artifact,3.0,[],"['B', 'G', 'R', 'U', 'W']",0,0,[],"Whenever a Dragon you control enters, put a gold counter on this artifact.
{T}, Remove a gold counter from this artifact: Draw a card.
{T}: Add one mana of any color.",1,972,https://cards.scryfall.io/png/front/3/e/3ee80876-6e87-46c4-a6fd-ff6752db3032.png?1743207302,https://cards.scryfall.io/art_crop/front/3/e/3ee80876-6e87-46c4-a6fd-ff6752db3032.jpg?1743207302,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624966%3Fpage%3D1,0.74,,0.65,76.0
Rootbound Crag,Land,0.0,[],"['G', 'R']",0,0,[],"This land enters tapped unless you control a Mountain or a Forest.
{T}: Add {R} or {G}.",1,166,https://cards.scryfall.io/png/front/1/a/1a88057c-0997-4b86-bcd5-b1127e4f1f28.png?1743207711,https://cards.scryfall.io/art_crop/front/1/a/1a88057c-0997-4b86-bcd5-b1127e4f1f28.jpg?1743207711,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624980%3Fpage%3D1,0.69,,1.34,76.0
"Tasigur, the Golden Fang",Legendary Creature — Human Shaman,6.0,['B'],[],4,5,"['Delve', 'Mill']","Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
{2}{G/U}{G/U}: Mill two cards, then return a nonland card of an opponent's choice from your graveyard to your hand.",1,6741,https://cards.scryfall.io/png/front/1/7/175ad810-3cdd-43c7-99a9-8a2e8ad6dbae.png?1743206587,https://cards.scryfall.io/art_crop/front/1/7/175ad810-3cdd-43c7-99a9-8a2e8ad6dbae.jpg?1743206587,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624437%3Fpage%3D1,0.18,,0.24,76.0
Shattergang Brothers,Legendary Creature — Goblin Artificer,4.0,"['B', 'G', 'R']",[],3,3,[],"{2}{B}, Sacrifice a creature: Each other player sacrifices a creature.
{2}{R}, Sacrifice an artifact: Each other player sacrifices an artifact.
{2}{G}, Sacrifice an enchantment: Each other player sacrifices an enchantment.",1,13554,https://cards.scryfall.io/png/front/5/2/52a30e27-4c52-4191-8541-e25732a2dd42.png?1673149130,https://cards.scryfall.io/art_crop/front/5/2/52a30e27-4c52-4191-8541-e25732a2dd42.jpg?1673149130,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F276525%3Fpage%3D1,0.25,0.21,0.23,76.0
Talisman of Curiosity,Artifact,2.0,[],"['C', 'G', 'U']",0,0,[],"{T}: Add {C}.
{T}: Add {G} or {U}. This artifact deals 1 damage to you.",1,423,https://cards.scryfall.io/png/front/8/3/8388c4e8-bda1-47e5-8df2-ddec5babcaf9.png?1706241095,https://cards.scryfall.io/art_crop/front/8/3/8388c4e8-bda1-47e5-8df2-ddec5babcaf9.jpg?1706241095,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F535748%3Fpage%3D1,0.27,,0.35,76.0
Talisman of Creativity,Artifact,2.0,[],"['C', 'R', 'U']",0,0,[],"{T}: Add {C}.
{T}: Add {U} or {R}. This artifact deals 1 damage to you.",1,121,https://cards.scryfall.io/png/front/b/f/bfe00640-e775-4b2e-91a8-081c7ec0125c.png?1743207377,https://cards.scryfall.io/art_crop/front/b/f/bfe00640-e775-4b2e-91a8-081c7ec0125c.jpg?1743207377,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624968%3Fpage%3D1,0.75,,1.35,75.0
Frontier Bivouac,Land,0.0,[],"['G', 'R', 'U']",0,0,[],"This land enters tapped.
{T}: Add {G}, {U}, or {R}.",1,378,https://cards.scryfall.io/png/front/6/7/679fff07-4796-4d91-8dd6-4e294383ce88.png?1743205011,https://cards.scryfall.io/art_crop/front/6/7/679fff07-4796-4d91-8dd6-4e294383ce88.jpg?1743205011,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624264%3Fpage%3D1,0.10,0.20,0.12,75.0
Rockfall Vale,Land,0.0,[],"['G', 'R']",0,0,[],"This land enters tapped unless you control two or more other lands.
{T}: Add {R} or {G}.",1,206,https://cards.scryfall.io/png/front/d/c/dcdea659-ecaf-4abe-be0f-64e105abb104.png?1743207701,https://cards.scryfall.io/art_crop/front/d/c/dcdea659-ecaf-4abe-be0f-64e105abb104.jpg?1743207701,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624979%3Fpage%3D1,0.61,,1.57,75.0
Hinterland Harbor,Land,0.0,[],"['G', 'U']",0,0,[],"This land enters tapped unless you control a Forest or an Island.
{T}: Add {G} or {U}.",1,118,https://cards.scryfall.io/png/front/3/e/3eb512f5-9782-4c49-9b6e-4e967e42408b.png?1743207610,https://cards.scryfall.io/art_crop/front/3/e/3eb512f5-9782-4c49-9b6e-4e967e42408b.jpg?1743207610,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624466%3Fpage%3D1,0.32,,0.57,75.0
Araumi of the Dead Tide,Legendary Creature — Merfolk Wizard,3.0,"['B', 'U']",[],1,4,[],"{T}, Exile cards from your graveyard equal to the number of opponents you have: Target creature card in your graveyard gains encore until end of turn. The encore cost is equal to its mana cost. (Exile the creature card and pay its mana cost: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)",1,8050,https://cards.scryfall.io/png/front/4/8/48b597dd-f6eb-45da-977d-453e8c1433cc.png?1608911023,https://cards.scryfall.io/art_crop/front/4/8/48b597dd-f6eb-45da-977d-453e8c1433cc.jpg?1608911023,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F226972%3Fpage%3D1,0.08,0.25,0.19,75.0
Riku of Many Paths,Legendary Creature — Human Wizard,3.0,"['G', 'R', 'U']",[],3,3,[],"Whenever you cast a modal spell, choose up to X, where X is the number of times you chose a mode for that spell —
• Exile the top card of your library. Until the end of your next turn, you may play it.
• Put a +1/+1 counter on Riku. It gains trample until end of turn.
• Create a 1/1 blue Bird creature token with flying.",1,11963,https://cards.scryfall.io/png/front/2/1/21b63544-4c31-4f38-9907-0407719a60b1.png?1713091879,https://cards.scryfall.io/art_crop/front/2/1/21b63544-4c31-4f38-9907-0407719a60b1.jpg?1713091879,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F544326%3Fpage%3D1,0.15,0.15,0.12,75.0
"Rith, Liberated Primeval",Legendary Creature — Dragon,5.0,"['G', 'R', 'W']",[],5,5,"['Flying', 'Ward']","Flying, ward {2}
Other Dragons you control have ward {2}.
At the beginning of your end step, if a creature or planeswalker an opponent controlled was dealt excess damage this turn, create a 4/4 red Dragon creature token with flying.",1,3886,https://cards.scryfall.io/png/front/a/c/ac148784-b7b6-4aae-bffb-a4cf09f56971.png?1673308054,https://cards.scryfall.io/art_crop/front/a/c/ac148784-b7b6-4aae-bffb-a4cf09f56971.jpg?1673308054,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F283463%3Fpage%3D1,5.10,5.97,1.47,74.0
"Dihada, Binder of Wills",Legendary Planeswalker — Dihada,4.0,"['B', 'R', 'W']",[],0,0,['Treasure'],"+2: Up to one target legendary creature gains vigilance, lifelink, and indestructible until your next turn.
−3: Reveal the top four cards of your library. Put any number of legendary cards from among them into your hand and the rest into your graveyard. Create a Treasure token for each card put into your graveyard this way.
−11: Gain control of all nonland permanents until end of turn. Untap them. They gain haste until end of turn.
Dihada, Binder of Wills can be your commander.",1,2536,https://cards.scryfall.io/png/front/d/d/ddeb54d6-a600-42b9-98df-20f8d58caed8.png?1685554091,https://cards.scryfall.io/art_crop/front/d/d/ddeb54d6-a600-42b9-98df-20f8d58caed8.jpg?1685554091,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F282840%3Fpage%3D1,9.69,12.00,5.52,74.0
