usd,name,synergy,type,mana_cost,colors,produced_mana,power,tough,keywords,rarity,text,rank,png,art,url
2.91,Crux of Fate,4540,Sorcery,{3}{B}{B},B,,,,,rare,"Choose one —
• Destroy all Dragon creatures.
• Destroy all non-Dragon creatures.",1415,https://cards.scryfall.io/png/front/1/1/11721b88-2654-482c-b9d4-80e54efdbf63.png?1562600485,https://cards.scryfall.io/art_crop/front/1/1/11721b88-2654-482c-b9d4-80e54efdbf63.jpg?1562600485,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F139805%3Fpage%3D1
0.47,Cultivate,17529.6,Sorcery,{2}{G},G,,,,,common,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",17,https://cards.scryfall.io/png/front/6/b/6bb4dff5-4486-4ba5-9b85-9f005d988108.png?1743206911,https://cards.scryfall.io/art_crop/front/6/b/6bb4dff5-4486-4ba5-9b85-9f005d988108.jpg?1743206911,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624450%3Fpage%3D1
51.63,Cyclonic Rift,8883.6,Instant,{1}{U},U,,,,Overload,mythic,"Return target nonland permanent you don't control to its owner's hand.
Overload {6}{U} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")",37,https://cards.scryfall.io/png/front/d/f/dfb7c4b9-f2f4-4d4e-baf2-86551c8150fe.png?1702429366,https://cards.scryfall.io/art_crop/front/d/f/dfb7c4b9-f2f4-4d4e-baf2-86551c8150fe.jpg?1702429366,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F530800%3Fpage%3D1
3.48,Dark Ritual,4077,Instant,{B},B,B,,,,common,Add {B}{B}{B}.,42,https://cards.scryfall.io/png/front/9/5/95f27eeb-6f14-4db3-adb9-9be5ed76b34b.png?1628801678,https://cards.scryfall.io/art_crop/front/9/5/95f27eeb-6f14-4db3-adb9-9be5ed76b34b.jpg?1628801678,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F161421%3Fpage%3D1
2.04,Deceptive Frostkite,520.2,Creature — Dragon,{U}{U},U,,1,1,Flying,rare,"Flying
You may have this creature enter as a copy of a creature you control with power 4 or greater, except it's a Dragon in addition to its other types and it has flying.",10982,https://cards.scryfall.io/png/front/1/f/1f87120f-d2a7-4c06-aadd-3ed5729d7abf.png?1743205750,https://cards.scryfall.io/art_crop/front/1/f/1f87120f-d2a7-4c06-aadd-3ed5729d7abf.jpg?1743205750,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F625123%3Fpage%3D1
43.54,Deflecting Swat,4032,Instant,{2}{R},R,,,,,rare,"If you control a commander, you may cast this spell without paying its mana cost.
You may choose new targets for target spell or ability.",97,https://cards.scryfall.io/png/front/b/4/b4b36435-55b3-4615-8812-af41d4fc64d9.png?1689997730,https://cards.scryfall.io/art_crop/front/b/4/b4b36435-55b3-4615-8812-af41d4fc64d9.jpg?1689997730,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F504494%3Fpage%3D1
62.58,Demonic Tutor,7141.2,Sorcery,{1}{B},B,,,,,mythic,"Search your library for a card, put that card into your hand, then shuffle.",51,https://cards.scryfall.io/png/front/a/2/a24b4cb6-cebb-428b-8654-74347a6a8d63.png?1701989302,https://cards.scryfall.io/art_crop/front/a/2/a24b4cb6-cebb-428b-8654-74347a6a8d63.jpg?1701989302,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F504566%3Fpage%3D1
0.52,Dimir Signet,4432.1,Artifact,{2},,"B,U",,,,common,"{1}, {T}: Add {U}{B}.",111,https://cards.scryfall.io/png/front/c/3/c3af24ce-b1ab-4137-9222-a4080acae928.png?1706240208,https://cards.scryfall.io/art_crop/front/c/3/c3af24ce-b1ab-4137-9222-a4080acae928.jpg?1706240208,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F534747%3Fpage%3D1
18.4,Dracogenesis,2908,Enchantment,{6}{R}{R},R,,,,,mythic,You may cast Dragon spells without paying their mana costs.,9356,https://cards.scryfall.io/png/front/0/d/0d5674f9-22b2-45f9-902d-4fd245485c60.png?1743204385,https://cards.scryfall.io/art_crop/front/0/d/0d5674f9-22b2-45f9-902d-4fd245485c60.jpg?1743204385,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624139%3Fpage%3D1
4.32,Dragon Tempest,6706.9,Enchantment,{1}{R},R,,,,,uncommon,"Whenever a creature you control with flying enters, it gains haste until end of turn.
Whenever a Dragon you control enters, it deals X damage to any target, where X is the number of Dragons you control.",806,https://cards.scryfall.io/png/front/3/9/39ac7ad0-e570-4209-988c-7c0f9b9d2004.png?1743206048,https://cards.scryfall.io/art_crop/front/3/9/39ac7ad0-e570-4209-988c-7c0f9b9d2004.jpg?1743206048,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624926%3Fpage%3D1
4.82,Dragonlord Dromoka,4344.6,Legendary Creature — Elder Dragon,{4}{G}{W},"G,W",,5,7,"Flying,Lifelink",mythic,"This spell can't be countered.
Flying, lifelink
Your opponents can't cast spells during your turn.",2241,https://cards.scryfall.io/png/front/4/4/4452d99e-23c2-408d-9eb8-ef31aefafa9d.png?1743207113,https://cards.scryfall.io/art_crop/front/4/4/4452d99e-23c2-408d-9eb8-ef31aefafa9d.jpg?1743207113,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624629%3Fpage%3D1
0.28,Dragonlord's Servant,3464.6,Creature — Goblin Shaman,{1}{R},R,,1,3,,uncommon,Dragon spells you cast cost {1} less to cast.,1200,https://cards.scryfall.io/png/front/b/e/be6fa0dc-74e7-4fad-9bdd-8e986612577a.png?1743206645,https://cards.scryfall.io/art_crop/front/b/e/be6fa0dc-74e7-4fad-9bdd-8e986612577a.jpg?1743206645,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624930%3Fpage%3D1
0.36,Dragonmaster Outcast,789.6,Creature — Human Shaman,{R},R,,1,1,,mythic,"At the beginning of your upkeep, if you control six or more lands, create a 5/5 red Dragon creature token with flying.",1219,https://cards.scryfall.io/png/front/a/4/a485edea-07cd-48dd-97e7-daeba85553d6.png?1743206653,https://cards.scryfall.io/art_crop/front/a/4/a485edea-07cd-48dd-97e7-daeba85553d6.jpg?1743206653,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624931%3Fpage%3D1
0.74,Dragon's Hoard,3470.6,Artifact,{3},,"B,G,R,U,W",,,,rare,"Whenever a Dragon you control enters, put a gold counter on this artifact.
{T}, Remove a gold counter from this artifact: Draw a card.
{T}: Add one mana of any color.",972,https://cards.scryfall.io/png/front/3/e/3ee80876-6e87-46c4-a6fd-ff6752db3032.png?1743207302,https://cards.scryfall.io/art_crop/front/3/e/3ee80876-6e87-46c4-a6fd-ff6752db3032.jpg?1743207302,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624966%3Fpage%3D1
0.78,Dragonskull Summit,3952,Land,,,"B,R",,,,rare,"This land enters tapped unless you control a Swamp or a Mountain.
{T}: Add {B} or {R}.",108,https://cards.scryfall.io/png/front/2/4/243ae383-f77d-4942-ae73-61f991131e03.png?1743207534,https://cards.scryfall.io/art_crop/front/2/4/243ae383-f77d-4942-ae73-61f991131e03.jpg?1743207534,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624315%3Fpage%3D1
12.1,Dragonspeaker Shaman,3671.5,Creature — Human Barbarian Shaman,{1}{R}{R},R,,2,2,,uncommon,Dragon spells you cast cost {2} less to cast.,1135,https://cards.scryfall.io/png/front/7/b/7b0a2799-197e-4d61-ab23-67d974458a05.png?1631590611,https://cards.scryfall.io/art_crop/front/7/b/7b0a2799-197e-4d61-ab23-67d974458a05.jpg?1631590611,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F243849%3Fpage%3D1
0.78,Dreamroot Cascade,1032,Land,,,"G,U",,,,rare,"This land enters tapped unless you control two or more other lands.
{T}: Add {G} or {U}.",239,https://cards.scryfall.io/png/front/4/8/4852abd7-98fa-4f5c-936d-b1355e7b0978.png?1743207535,https://cards.scryfall.io/art_crop/front/4/8/4852abd7-98fa-4f5c-936d-b1355e7b0978.jpg?1743207535,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624456%3Fpage%3D1
2.01,Drowned Catacomb,2488.2,Land,,,"B,U",,,,rare,"This land enters tapped unless you control an Island or a Swamp.
{T}: Add {U} or {B}.",119,https://cards.scryfall.io/png/front/0/7/07b4a6dd-0e2f-43be-93c6-7578c34a9443.png?1712354997,https://cards.scryfall.io/art_crop/front/0/7/07b4a6dd-0e2f-43be-93c6-7578c34a9443.jpg?1712354997,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F545225%3Fpage%3D1
6.19,Dryad of the Ilysian Grove,540.5,Enchantment Creature — Nymph Dryad,{2}{G},G,,2,4,,rare,"You may play an additional land on each of your turns.
Lands you control are every basic land type in addition to their other types.",307,https://cards.scryfall.io/png/front/4/3/43be1363-7e73-4862-b45f-07f490ab46be.png?1690004795,https://cards.scryfall.io/art_crop/front/4/3/43be1363-7e73-4862-b45f-07f490ab46be.jpg?1690004795,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F505970%3Fpage%3D1
4.58,Earthquake Dragon,1276.8,Creature — Elemental Dragon,{14}{G},G,,10,10,"Flying,Trample",rare,"This spell costs {X} less to cast, where X is the total mana value of Dragons you control.
Flying, trample
{2}{G}, Sacrifice a land: Return this card from your graveyard to your hand.",2717,https://cards.scryfall.io/png/front/b/f/bfedfd30-8075-429e-a0fa-4919920c8632.png?1674137067,https://cards.scryfall.io/art_crop/front/b/f/bfedfd30-8075-429e-a0fa-4919920c8632.jpg?1674137067,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F273062%3Fpage%3D1
33.67,Edgar Markov,492.1,Legendary Creature — Vampire Knight,{3}{R}{W}{B},"B,R,W",,4,4,"First strike,Haste,Eminence",mythic,"Eminence — Whenever you cast another Vampire spell, if Edgar is in the command zone or on the battlefield, create a 1/1 black Vampire creature token.
First strike, haste
Whenever Edgar attacks, put a +1/+1 counter on each Vampire you control.",3183,https://cards.scryfall.io/png/front/a/5/a577ba08-0aa8-45be-aa83-d5078770127c.png?1736468492,https://cards.scryfall.io/art_crop/front/a/5/a577ba08-0aa8-45be-aa83-d5078770127c.jpg?1736468492,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F596272%3Fpage%3D1
2.55,Elemental Bond,1530,Enchantment,{2}{G},G,,,,,uncommon,"Whenever a creature you control with power 3 or greater enters, draw a card.",570,https://cards.scryfall.io/png/front/8/e/8efbc925-54ac-4dda-82af-9091b1cf2fda.png?1743206914,https://cards.scryfall.io/art_crop/front/8/e/8efbc925-54ac-4dda-82af-9091b1cf2fda.jpg?1743206914,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624956%3Fpage%3D1
0.15,Encroaching Dragonstorm,1425.6,Enchantment,{3}{G},G,,,,,uncommon,"When this enchantment enters, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
When a Dragon you control enters, return this enchantment to its owner's hand.",9779,https://cards.scryfall.io/png/front/4/d/4ddd4477-f8c9-4d05-9177-f8344ba8f40b.png?1743204535,https://cards.scryfall.io/art_crop/front/4/d/4ddd4477-f8c9-4d05-9177-f8344ba8f40b.jpg?1743204535,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624951%3Fpage%3D1
37.71,Esper Sentinel,1666.5,Artifact Creature — Human Soldier,{W},W,,1,1,,rare,"Whenever an opponent casts their first noncreature spell each turn, draw a card unless that player pays {X}, where X is this creature's power.",69,https://cards.scryfall.io/png/front/f/3/f3537373-ef54-4578-9d05-6216420ee349.png?1626093502,https://cards.scryfall.io/art_crop/front/f/3/f3537373-ef54-4578-9d05-6216420ee349.jpg?1626093502,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F240035%3Fpage%3D1
1.08,Eternal Witness,3624.9,Creature — Human Shaman,{1}{G}{G},G,,2,1,,uncommon,"When this creature enters, you may return target card from your graveyard to your hand.",66,https://cards.scryfall.io/png/front/3/9/39704000-65d3-4d39-849e-a3b617376bbc.png?1689998488,https://cards.scryfall.io/art_crop/front/3/9/39704000-65d3-4d39-849e-a3b617376bbc.jpg?1689998488,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F507278%3Fpage%3D1
0.09,Evolving Wilds,3891.5,Land,,,,,,,common,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",16,https://cards.scryfall.io/png/front/6/2/62209251-4118-4843-895b-46afb7284c75.png?1743205007,https://cards.scryfall.io/art_crop/front/6/2/62209251-4118-4843-895b-46afb7284c75.jpg?1743205007,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624263%3Fpage%3D1
0.15,Exotic Orchard,16835,Land,,,"B,G,R,U,W",,,,rare,{T}: Add one mana of any color that a land an opponent controls could produce.,9,https://cards.scryfall.io/png/front/c/2/c2ea2395-4518-4683-8eed-59c43fb3328a.png?1743207546,https://cards.scryfall.io/art_crop/front/c/2/c2ea2395-4518-4683-8eed-59c43fb3328a.jpg?1743207546,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624207%3Fpage%3D1
22.67,Exploration,931.2,Enchantment,{G},G,,,,,rare,You may play an additional land on each of your turns.,286,https://cards.scryfall.io/png/front/5/b/5b372045-a4a0-44c8-96ec-1e201d61ed26.png?1675200396,https://cards.scryfall.io/art_crop/front/5/b/5b372045-a4a0-44c8-96ec-1e201d61ed26.jpg?1675200396,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F457191%3Fpage%3D1
0.22,Explore,1748.4,Sorcery,{1}{G},G,,,,,common,"You may play an additional land this turn.
Draw a card.",235,https://cards.scryfall.io/png/front/3/9/3976affd-8c2b-499a-a946-b629c2ba59c7.png?1712354565,https://cards.scryfall.io/art_crop/front/3/9/3976affd-8c2b-499a-a946-b629c2ba59c7.jpg?1712354565,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F545092%3Fpage%3D1
5.27,Ezio Auditore da Firenze,271.2,Legendary Creature — Human Assassin,{1}{B},B,,3,2,Menace,mythic,"Menace
Assassin spells you cast have freerunning {B}{B}. (You may cast a spell for its freerunning cost if you dealt combat damage to a player this turn with an Assassin or commander.)
Whenever Ezio deals combat damage to a player, you may pay {W}{U}{B}{R}{G} if that player has 10 or less life. When you do, that player loses the game.",6987,https://cards.scryfall.io/png/front/d/a/dae9ee75-30b8-4e24-af8b-031c816d3221.png?1737999942,https://cards.scryfall.io/art_crop/front/d/a/dae9ee75-30b8-4e24-af8b-031c816d3221.jpg?1737999942,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F541329%3Fpage%3D1
0.37,Faeburrow Elder,1872.2,Creature — Treefolk Druid,{1}{G}{W},"G,W","B,G,R,U,W",0,0,Vigilance,rare,"Vigilance
This creature gets +1/+1 for each color among permanents you control.
{T}: For each color among permanents you control, add one mana of that color.",564,https://cards.scryfall.io/png/front/4/d/4d7fc4e6-e229-431f-8f8d-8464fb410724.png?1743207131,https://cards.scryfall.io/art_crop/front/4/d/4d7fc4e6-e229-431f-8f8d-8464fb410724.jpg?1743207131,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624630%3Fpage%3D1
0.51,Farseek,17859.6,Sorcery,{1}{G},G,,,,,common,"Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.",26,https://cards.scryfall.io/png/front/9/c/9cc7c928-2e45-4653-883d-d13166ccb0df.png?1743206922,https://cards.scryfall.io/art_crop/front/9/c/9cc7c928-2e45-4653-883d-d13166ccb0df.jpg?1743206922,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624453%3Fpage%3D1
1.9,Felidar Retreat,561.6,Enchantment,{3}{W},W,,,,Landfall,rare,"Landfall — Whenever a land you control enters, choose one —
• Create a 2/2 white Cat Beast creature token.
• Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.",390,https://cards.scryfall.io/png/front/8/9/89e3cc09-5057-4c05-88fc-d6cda809fc74.png?1730490783,https://cards.scryfall.io/art_crop/front/8/9/89e3cc09-5057-4c05-88fc-d6cda809fc74.jpg?1730490783,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F590974%3Fpage%3D1
0.37,Fellwar Stone,8089.2,Artifact,{2},,"B,G,R,U,W",,,,uncommon,{T}: Add one mana of any color that a land an opponent controls could produce.,18,https://cards.scryfall.io/png/front/c/e/ce55e00c-cd95-48eb-986e-edf5125f3534.png?1743207310,https://cards.scryfall.io/art_crop/front/c/e/ce55e00c-cd95-48eb-986e-edf5125f3534.jpg?1743207310,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624374%3Fpage%3D1
43.08,Fierce Guardianship,4209,Instant,{2}{U},U,,,,,rare,"If you control a commander, you may cast this spell without paying its mana cost.
Counter target noncreature spell.",73,https://cards.scryfall.io/png/front/f/7/f7f3dd95-bd14-4e0f-a388-444f9cf1b0dc.png?1689996370,https://cards.scryfall.io/art_crop/front/f/7/f7f3dd95-bd14-4e0f-a388-444f9cf1b0dc.jpg?1689996370,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F504561%3Fpage%3D1
0.1,Foreboding Landscape,464.1,Land,,,C,,,Cycling,common,"{T}: Add {C}.
{T}, Sacrifice this land: Search your library for a basic Swamp, Forest, or Island card, put it onto the battlefield tapped, then shuffle.
Cycling {B}{G}{U} ({B}{G}{U}, Discard this card: Draw a card.)",2762,https://cards.scryfall.io/png/front/c/f/cf53f97c-dd4c-44bd-93ba-faa6d64c985a.png?1743207578,https://cards.scryfall.io/art_crop/front/c/f/cf53f97c-dd4c-44bd-93ba-faa6d64c985a.jpg?1743207578,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624462%3Fpage%3D1
0.1,Frontier Bivouac,6340.6,Land,,,"G,R,U",,,,uncommon,"This land enters tapped.
{T}: Add {G}, {U}, or {R}.",378,https://cards.scryfall.io/png/front/6/7/679fff07-4796-4d91-8dd6-4e294383ce88.png?1743205011,https://cards.scryfall.io/art_crop/front/6/7/679fff07-4796-4d91-8dd6-4e294383ce88.jpg?1743205011,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624264%3Fpage%3D1
0.52,Garruk's Uprising,9216.9,Enchantment,{2}{G},G,,,,,uncommon,"When this enchantment enters, if you control a creature with power 4 or greater, draw a card.
Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever a creature you control with power 4 or greater enters, draw a card.",103,https://cards.scryfall.io/png/front/4/8/4805c303-e73b-443b-a09f-49d2c2c88bb5.png?1730489415,https://cards.scryfall.io/art_crop/front/4/8/4805c303-e73b-443b-a09f-49d2c2c88bb5.jpg?1730489415,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F591806%3Fpage%3D1
0.66,Generous Gift,5915.7,Instant,{2}{W},W,,,,,uncommon,Destroy target permanent. Its controller creates a 3/3 green Elephant creature token.,44,https://cards.scryfall.io/png/front/f/c/fc70e127-ffc8-45ed-9ca3-7f9f926ac4d5.png?1700321873,https://cards.scryfall.io/art_crop/front/f/c/fc70e127-ffc8-45ed-9ca3-7f9f926ac4d5.jpg?1700321873,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F525897%3Fpage%3D1
0.42,Glacial Fortress,1932,Land,,,"U,W",,,,rare,"This land enters tapped unless you control a Plains or an Island.
{T}: Add {W} or {U}.",134,https://cards.scryfall.io/png/front/2/e/2ed2dd5e-f59a-4ce3-a50e-968a1e94f59c.png?1743207589,https://cards.scryfall.io/art_crop/front/2/e/2ed2dd5e-f59a-4ce3-a50e-968a1e94f59c.jpg?1743207589,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624209%3Fpage%3D1
16.41,Godless Shrine,12838.4,Land — Plains Swamp,,,"B,W",,,,rare,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",67,https://cards.scryfall.io/png/front/9/e/9e26f6ad-c1b8-4ec6-a179-e86ce09824c1.png?1702429803,https://cards.scryfall.io/art_crop/front/9/e/9e26f6ad-c1b8-4ec6-a179-e86ce09824c1.jpg?1702429803,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F517658%3Fpage%3D1
8.13,Goldspan Dragon,3474.9,Creature — Dragon,{3}{R}{R},R,"B,G,R,U,W",4,4,"Flying,Treasure,Haste",mythic,"Flying, haste
Whenever this creature attacks or becomes the target of a spell, create a Treasure token.
Treasures you control have ""{T}, Sacrifice this artifact: Add two mana of any one color.""",420,https://cards.scryfall.io/png/front/9/d/9d914868-9000-4df2-a818-0ef8a7f636ae.png?1665343456,https://cards.scryfall.io/art_crop/front/9/d/9d914868-9000-4df2-a818-0ef8a7f636ae.jpg?1665343456,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F230161%3Fpage%3D1
4.17,Go-Shintai of Life's Origin,499.2,Legendary Enchantment Creature — Shrine,{3}{G},G,,3,4,,mythic,"{W}{U}{B}{R}{G}, {T}: Return target enchantment card from your graveyard to the battlefield.
Whenever Go-Shintai of Life's Origin or another nontoken Shrine you control enters, create a 1/1 colorless Shrine enchantment creature token.",4995,https://cards.scryfall.io/png/front/9/4/9476fe67-d2d3-4835-8ba6-2a17d18cc141.png?1723704351,https://cards.scryfall.io/art_crop/front/9/4/9476fe67-d2d3-4835-8ba6-2a17d18cc141.jpg?1723704351,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F262843%3Fpage%3D1
1.34,Gray Merchant of Asphodel,278.8,Creature — Zombie,{3}{B}{B},B,,2,4,,uncommon,"When this creature enters, each opponent loses X life, where X is your devotion to black. You gain life equal to the life lost this way. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)",224,https://cards.scryfall.io/png/front/0/0/00d001d0-fd29-4b7c-9d0e-9131b995f910.png?1726284821,https://cards.scryfall.io/art_crop/front/0/0/00d001d0-fd29-4b7c-9d0e-9131b995f910.jpg?1726284821,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F579034%3Fpage%3D1
0.23,Growth Spiral,5178.6,Instant,{G}{U},"G,U",,,,,common,Draw a card. You may put a land card from your hand onto the battlefield.,200,https://cards.scryfall.io/png/front/1/e/1e10e2b4-9639-41ae-8b8e-253224d3d513.png?1726284492,https://cards.scryfall.io/art_crop/front/1/e/1e10e2b4-9639-41ae-8b8e-253224d3d513.jpg?1726284492,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F577841%3Fpage%3D1
12.14,Hallowed Fountain,11767.6,Land — Plains Island,,,"U,W",,,,rare,"({T}: Add {W} or {U}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",75,https://cards.scryfall.io/png/front/c/d/cd70adab-39db-4cc9-ae37-a342f9109bec.png?1702429810,https://cards.scryfall.io/art_crop/front/c/d/cd70adab-39db-4cc9-ae37-a342f9109bec.jpg?1702429810,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F517656%3Fpage%3D1
0.45,Hammerhead Tyrant,494.7,Creature — Dragon,{4}{U}{U},U,,6,6,Flying,rare,"Flying
Whenever you cast a spell, return up to one target nonland permanent an opponent controls with mana value less than or equal to that spell's mana value to its owner's hand.",11395,https://cards.scryfall.io/png/front/8/7/87d4d694-c80e-435a-ba1b-f2f1949f91fc.png?1743205757,https://cards.scryfall.io/art_crop/front/8/7/87d4d694-c80e-435a-ba1b-f2f1949f91fc.jpg?1743205757,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624915%3Fpage%3D1
0.3,Harrow,1201.2,Instant,{2}{G},G,,,,,common,"As an additional cost to cast this spell, sacrifice a land.
Search your library for up to two basic land cards, put them onto the battlefield, then shuffle.",245,https://cards.scryfall.io/png/front/6/4/64f86c4f-67d8-44d1-a6aa-b94601e7cefe.png?1743206937,https://cards.scryfall.io/art_crop/front/6/4/64f86c4f-67d8-44d1-a6aa-b94601e7cefe.jpg?1743206937,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624457%3Fpage%3D1
